condition,fly,number_visit,mean_visit
0-125M_24hr,bias_video_cam_0_date_2019_06_05_time_18_12_19_v001,41,25.563382195121946
0-125M_24hr,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,44,25.15557502272728
0-125M_24hr,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,28,11.059278499999994
0-125M_24hr,bias_video_cam_0_date_2019_06_19_time_15_45_36_v001,35,12.440237514285709
0-125M_24hr,bias_video_cam_0_date_2019_06_21_time_10_55_39_v001,35,22.209691742857167
0-125M_24hr,bias_video_cam_0_date_2019_06_25_time_17_03_41_v001,16,60.33353381249998
0-125M_24hr,bias_video_cam_0_date_2019_07_09_time_16_44_30_v001,28,8.754205464285725
0-125M_24hr,bias_video_cam_0_date_2019_07_09_time_17_53_36_v001,7,54.14237542857148
0-125M_24hr,bias_video_cam_0_date_2019_07_10_time_16_54_37_v001,0,
0-125M_24hr,bias_video_cam_0_date_2019_07_10_time_18_07_09_v001,22,21.627709681818157
0-125M_24hr,bias_video_cam_0_date_2019_07_17_time_17_18_13_v001,27,12.26260637037036
0-125M_24hr,bias_video_cam_0_date_2019_07_17_time_18_51_31_v001,43,6.515867465116257
0-125M_24hr,bias_video_cam_0_date_2019_07_19_time_16_15_22_v001,29,5.6185975172413825
0-125M_24hr,bias_video_cam_0_date_2019_07_19_time_17_22_03_v001,18,15.019030833333321
0-125M_24hr,bias_video_cam_0_date_2019_07_20_time_17_16_19_v001,28,11.126286035714285
0-125M_24hr,bias_video_cam_0_date_2019_07_23_time_15_20_45_v001,5,2.885210599999982
0-125M_24hr,bias_video_cam_0_date_2019_08_28_time_08_35_56_v001,42,20.08449319047619
0-125M_24hr,bias_video_cam_0_date_2019_08_28_time_09_33_08_v001,33,32.45418990909093
0-125M_24hr,bias_video_cam_0_date_2019_09_13_time_08_39_51_v001,54,16.439704185185196
0-125M_24hr,bias_video_cam_0_date_2019_09_13_time_09_34_35_v001,29,28.870788965517264
0-125M_24hr,bias_video_cam_0_date_2019_09_19_time_08_03_23_v001,29,14.434673068965507
0-125M_24hr,bias_video_cam_0_date_2019_09_19_time_09_05_10_v001,30,21.302744633333337
0-125M_24hr,bias_video_cam_0_date_2019_10_01_time_08_24_12_v001,21,32.71770347619047
0-125M_24hr,bias_video_cam_0_date_2019_10_01_time_09_22_31_v001,39,17.99674576923078
0-125M_24hr,bias_video_cam_0_date_2019_10_01_time_10_27_42_v001,53,8.526771075471704
0-125M_24hr,bias_video_cam_0_date_2019_10_01_time_11_17_53_v001,28,39.16237328571431
0-125M_24hr,bias_video_cam_0_date_2019_10_17_time_10_07_28_v001,34,24.372470764705902
0-125M_24hr,bias_video_cam_0_date_2019_10_17_time_11_21_00_v001,21,65.44137323809524
0-125M_40hr,bias_video_cam_0_date_2019_06_03_time_08_44_39_v001,1,987.89294
0-125M_40hr,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,13,133.2501853846154
0-125M_40hr,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,29,36.76099475862067
0-125M_40hr,bias_video_cam_0_date_2019_06_06_time_08_49_27_v001,20,59.044674450000024
0-125M_40hr,bias_video_cam_0_date_2019_06_06_time_09_44_26_v001,30,44.57206100000001
0-125M_40hr,bias_video_cam_0_date_2019_06_06_time_10_51_16_v001,44,37.89302997727271
0-125M_40hr,bias_video_cam_0_date_2019_06_06_time_11_49_34_v001,34,37.704683676470594
0-125M_40hr,bias_video_cam_0_date_2019_07_18_time_10_35_58_v001,17,52.42626329411765
0-125M_40hr,bias_video_cam_0_date_2019_07_23_time_09_44_48_v001,24,45.05535304166667
0-125M_40hr,bias_video_cam_0_date_2019_07_24_time_11_36_04_v001,58,19.40342727586209
0-125M_40hr,bias_video_cam_0_date_2019_08_09_time_10_10_14_v001,28,43.190294428571406
0-125M_40hr,bias_video_cam_0_date_2019_08_09_time_11_06_27_v001,74,11.847225945945926
0-125M_40hr,bias_video_cam_0_date_2019_08_14_time_11_00_23_v001,21,86.8580972857143
0-125M_40hr,bias_video_cam_0_date_2019_08_29_time_08_37_25_v001,22,38.23320109090905
0-125M_40hr,bias_video_cam_0_date_2019_08_29_time_09_36_52_v001,15,71.72994653333338
0-125M_40hr,bias_video_cam_0_date_2019_08_29_time_10_28_38_v001,9,287.2331318888889
0-125M_40hr,bias_video_cam_0_date_2019_08_30_time_08_29_07_v001,22,87.850701
0-125M_40hr,bias_video_cam_0_date_2019_08_30_time_09_23_44_v001,5,139.71589480000011
0-125M_40hr,bias_video_cam_0_date_2019_08_30_time_10_16_33_v001,12,162.03932000000003
0-125M_40hr,bias_video_cam_0_date_2019_09_11_time_08_09_33_v001,15,148.94131460000003
0-125M_40hr,bias_video_cam_0_date_2019_09_11_time_09_01_22_v001,36,37.77456886111112
0-125M_40hr,bias_video_cam_0_date_2019_09_11_time_09_55_30_v001,45,34.50021651111112
0-125M_40hr,bias_video_cam_0_date_2019_09_11_time_11_17_38_v001,1,1743.717566
0-125M_40hr,bias_video_cam_0_date_2019_09_18_time_08_17_39_v001,20,51.36257209999999
0-125M_40hr,bias_video_cam_0_date_2019_09_18_time_09_13_32_v001,18,79.55637049999999
0-125M_40hr,bias_video_cam_0_date_2019_10_15_time_09_53_03_v001,21,56.491060904761916
0-125M_40hr,bias_video_cam_0_date_2019_10_15_time_11_01_32_v001,1,39.65079000000014
0-125M_40hr,bias_video_cam_0_date_2019_10_16_time_08_11_03_v001,43,31.664969999999983
0-125M_40hr,bias_video_cam_0_date_2019_10_16_time_09_09_11_v001,30,45.664387433333346
