fly,condition,number_encounter
bias_video_cam_0_date_2019_06_05_time_18_12_19_v001,0-125M_24hr,63
bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,0-125M_24hr,136
bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,0-125M_24hr,49
bias_video_cam_0_date_2019_06_19_time_15_45_36_v001,0-125M_24hr,55
bias_video_cam_0_date_2019_06_21_time_10_55_39_v001,0-125M_24hr,56
bias_video_cam_0_date_2019_06_25_time_17_03_41_v001,0-125M_24hr,28
bias_video_cam_0_date_2019_07_09_time_16_44_30_v001,0-125M_24hr,34
bias_video_cam_0_date_2019_07_09_time_17_53_36_v001,0-125M_24hr,9
bias_video_cam_0_date_2019_07_10_time_16_54_37_v001,0-125M_24hr,0
bias_video_cam_0_date_2019_07_10_time_18_07_09_v001,0-125M_24hr,25
bias_video_cam_0_date_2019_07_17_time_17_18_13_v001,0-125M_24hr,43
bias_video_cam_0_date_2019_07_17_time_18_51_31_v001,0-125M_24hr,58
bias_video_cam_0_date_2019_07_19_time_16_15_22_v001,0-125M_24hr,40
bias_video_cam_0_date_2019_07_19_time_17_22_03_v001,0-125M_24hr,26
bias_video_cam_0_date_2019_07_20_time_17_16_19_v001,0-125M_24hr,47
bias_video_cam_0_date_2019_07_23_time_15_20_45_v001,0-125M_24hr,8
bias_video_cam_0_date_2019_08_28_time_08_35_56_v001,0-125M_24hr,92
bias_video_cam_0_date_2019_08_28_time_09_33_08_v001,0-125M_24hr,65
bias_video_cam_0_date_2019_09_13_time_08_39_51_v001,0-125M_24hr,119
bias_video_cam_0_date_2019_09_13_time_09_34_35_v001,0-125M_24hr,59
bias_video_cam_0_date_2019_09_19_time_08_03_23_v001,0-125M_24hr,38
bias_video_cam_0_date_2019_09_19_time_09_05_10_v001,0-125M_24hr,64
bias_video_cam_0_date_2019_10_01_time_08_24_12_v001,0-125M_24hr,44
bias_video_cam_0_date_2019_10_01_time_09_22_31_v001,0-125M_24hr,78
bias_video_cam_0_date_2019_10_01_time_10_27_42_v001,0-125M_24hr,133
bias_video_cam_0_date_2019_10_01_time_11_17_53_v001,0-125M_24hr,61
bias_video_cam_0_date_2019_10_17_time_10_07_28_v001,0-125M_24hr,48
bias_video_cam_0_date_2019_10_17_time_11_21_00_v001,0-125M_24hr,34
bias_video_cam_0_date_2019_06_03_time_08_44_39_v001,0-125M_40hr,20
bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,0-125M_40hr,16
bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,0-125M_40hr,36
bias_video_cam_0_date_2019_06_06_time_08_49_27_v001,0-125M_40hr,31
bias_video_cam_0_date_2019_06_06_time_09_44_26_v001,0-125M_40hr,56
bias_video_cam_0_date_2019_06_06_time_10_51_16_v001,0-125M_40hr,77
bias_video_cam_0_date_2019_06_06_time_11_49_34_v001,0-125M_40hr,60
bias_video_cam_0_date_2019_07_18_time_10_35_58_v001,0-125M_40hr,29
bias_video_cam_0_date_2019_07_23_time_09_44_48_v001,0-125M_40hr,43
bias_video_cam_0_date_2019_07_24_time_11_36_04_v001,0-125M_40hr,72
bias_video_cam_0_date_2019_08_09_time_10_10_14_v001,0-125M_40hr,59
bias_video_cam_0_date_2019_08_09_time_11_06_27_v001,0-125M_40hr,118
bias_video_cam_0_date_2019_08_14_time_11_00_23_v001,0-125M_40hr,35
bias_video_cam_0_date_2019_08_29_time_08_37_25_v001,0-125M_40hr,38
bias_video_cam_0_date_2019_08_29_time_09_36_52_v001,0-125M_40hr,30
bias_video_cam_0_date_2019_08_29_time_10_28_38_v001,0-125M_40hr,19
bias_video_cam_0_date_2019_08_30_time_08_29_07_v001,0-125M_40hr,48
bias_video_cam_0_date_2019_08_30_time_09_23_44_v001,0-125M_40hr,9
bias_video_cam_0_date_2019_08_30_time_10_16_33_v001,0-125M_40hr,25
bias_video_cam_0_date_2019_09_11_time_08_09_33_v001,0-125M_40hr,36
bias_video_cam_0_date_2019_09_11_time_09_01_22_v001,0-125M_40hr,60
bias_video_cam_0_date_2019_09_11_time_09_55_30_v001,0-125M_40hr,61
bias_video_cam_0_date_2019_09_11_time_11_17_38_v001,0-125M_40hr,7
bias_video_cam_0_date_2019_09_18_time_08_17_39_v001,0-125M_40hr,36
bias_video_cam_0_date_2019_09_18_time_09_13_32_v001,0-125M_40hr,41
bias_video_cam_0_date_2019_10_15_time_09_53_03_v001,0-125M_40hr,54
bias_video_cam_0_date_2019_10_15_time_11_01_32_v001,0-125M_40hr,1
bias_video_cam_0_date_2019_10_16_time_08_11_03_v001,0-125M_40hr,78
bias_video_cam_0_date_2019_10_16_time_09_09_11_v001,0-125M_40hr,47
